Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss (Global),Balance (Global),Profit/Loss (Pips),Strategy name (Global)
1116,GOLD.pro,Buy,04.11.2024 04:10:43,2741.43,0.099,05.11.2024 10:10:43,2742.18,1d 6h 0m,6.82,124533.08,7500,gold fv
2496,USDJPY.pro,Buy,05.11.2024 06:18:00,152.54,0.29,05.11.2024 14:39:00,152.026,8h 21m,-89.97,124443.11,-51.4,usdjpy pf
840,GOLD.pro,Buy,05.11.2024 15:30:07,2748.75,0.18,05.11.2024 16:06:30,2739.71,36m 23s,-149.35,124293.76,-90400,gold sf
620,DE30.pro,Buy,05.11.2024 18:14:30,19383.2,0.09,05.11.2024 20:55:19,19334.9,2h 40m,-108.68,124185.08,-483000,dax sf
1194,USDJPY.pro,Sell,04.11.2024 03:00:00,151.786,0.31,05.11.2024 23:32:58,151.673,1d 20h 32m,17.81,124202.89,11.3,usdjpy cf
1196,USDJPY.pro,Sell,06.11.2024 01:00:00,151.432,0.45,06.11.2024 01:19:21,151.988,19m 21s,-151.16,124051.73,-55.6,usdjpy cf
1188,US100.pro,Buy,05.11.2024 15:37:34,20220.9,0.08,06.11.2024 03:40:39,20550.1,12h 3m,488.72,124540.45,3292000,nas100 sf
1198,USDJPY.pro,Buy,06.11.2024 01:45:00,152.687,0.28,06.11.2024 05:41:34,153.592,3h 56m,152.99,124693.44,90.5,usdjpy cf
1118,GOLD.pro,Buy,05.11.2024 14:49:22,2745.15,0.116,06.11.2024 07:28:17,2719.01,16h 38m,-282.75,124410.69,-261400,gold fv
1160,US500.pro,Buy,06.11.2024 08:03:19,5909.7,0.06,06.11.2024 15:49:41,5909.5,7h 46m,-0.56,124410.13,-2000,us500 vf
2498,USDJPY.pro,Buy,06.11.2024 13:30:00,154.406,0.06,06.11.2024 21:00:00,154.447,7h 30m,1.48,124411.61,4.1,usdjpy pf
1162,US500.pro,Buy,06.11.2024 19:46:30,5953.9,0.06,07.11.2024 19:46:30,5989.7,1d 0h 0m,99.45,124511.06,358000,us500 vf
2500,USDJPY.pro,Sell,07.11.2024 08:06:00,153.91,0.16,07.11.2024 21:00:00,153.089,12h 54m,79.58,124590.64,82.1,usdjpy pf
1190,US100.pro,Buy,07.11.2024 15:59:32,21108.8,0.07,08.11.2024 11:41:47,21148.8,19h 42m,51.99,124642.63,400000,nas100 sf
1163,US500.pro,Buy,07.11.2024 13:02:46,5973.4,0.05,08.11.2024 13:02:47,5996.2,1d 0h 0m,52.86,124695.49,228000,us500 vf
1164,US500.pro,Buy,07.11.2024 16:00:01,5986.9,0.06,08.11.2024 16:00:01,6014.6,1d 0h 0m,77.29,124772.78,277000,us500 vf
1166,US500.pro,Buy,07.11.2024 20:50:13,6002.1,0.06,08.11.2024 20:50:13,6035.7,1d 0h 0m,94.1,124866.88,336000,us500 vf
2502,USDJPY.pro,Sell,08.11.2024 09:18:00,152.537,0.15,08.11.2024 21:00:00,152.68,11h 42m,-13.11,124853.77,-14.3,usdjpy pf
1169,US500.pro,Buy,08.11.2024 20:09:12,6036.1,0.11,11.11.2024 00:01:00,6030.3,2d 3h 51m,-29.79,124823.98,-58000,us500 vf
2504,USDJPY.pro,Buy,11.11.2024 09:06:00,153.734,0.18,11.11.2024 21:00:00,153.765,11h 54m,3.41,124827.39,3.1,usdjpy pf
1120,GOLD.pro,Sell,11.11.2024 16:33:48,2617.81,0.112,12.11.2024 03:33:49,2624.93,11h 0m,-74.88,124752.51,-71200,gold fv
1200,USDJPY.pro,Buy,12.11.2024 03:00:00,153.954,0.54,12.11.2024 05:40:01,153.506,2h 40m,-148.05,124604.46,-44.8,usdjpy cf
2506,USDJPY.pro,Sell,12.11.2024 06:06:00,153.462,0.16,12.11.2024 14:43:37,154.337,8h 37m,-85.44,124519.02,-87.5,usdjpy pf
1020,US100.pro,Sell,12.11.2024 19:00:00,21066,0.05,12.11.2024 19:55:58,21186.5,55m 58s,-113.53,124405.49,-1205000,nas100 cf
2508,USDJPY.pro,Buy,13.11.2024 07:00:00,154.918,0.27,13.11.2024 15:10:15,154.37,8h 10m,-90.11,124315.38,-54.8,usdjpy pf
1192,US100.pro,Buy,13.11.2024 19:48:08,21256,0.08,13.11.2024 20:40:08,21177.8,52m 0s,-118.38,124197,-782000,nas100 sf
1122,GOLD.pro,Sell,13.11.2024 21:03:14,2577.69,0.136,14.11.2024 02:57:23,2563.41,5h 54m,183.94,124380.94,142800,gold fv
1124,GOLD.pro,Sell,14.11.2024 06:31:20,2558.97,0.136,14.11.2024 10:36:36,2541.27,4h 5m,228.82,124609.76,177000,gold fv
1022,US100.pro,Buy,13.11.2024 20:00:00,21258.3,0.03,14.11.2024 15:43:58,21088.9,19h 43m,-96.28,124513.48,-1694000,nas100 cf
1172,US500.pro,Buy,13.11.2024 18:09:12,6030.4,0.1,14.11.2024 18:09:12,5997,1d 0h 0m,-158.16,124355.32,-334000,us500 vf
2510,USDJPY.pro,Sell,14.11.2024 08:36:00,155.765,0.29,14.11.2024 21:00:00,155.927,12h 24m,-28.57,124326.75,-16.2,usdjpy pf
2512,USDJPY.pro,Sell,15.11.2024 07:36:00,156.211,0.34,15.11.2024 21:00:00,154.22,13h 24m,416.58,124743.33,199.1,usdjpy pf
1024,US100.pro,Sell,14.11.2024 20:00:00,21026.3,0.05,18.11.2024 01:05:41,20574.3,3d 5h 5m,429.07,125172.4,4520000,nas100 cf
2514,USDJPY.pro,Sell,18.11.2024 07:24:00,154.376,0.18,18.11.2024 13:25:35,155.152,6h 1m,-85.43,125086.97,-77.6,usdjpy pf
2516,USDJPY.pro,Buy,19.11.2024 06:54:00,154.485,0.18,19.11.2024 09:39:08,153.676,2h 45m,-89.61,124997.36,-80.9,usdjpy pf
1202,USDJPY.pro,Sell,19.11.2024 09:45:00,153.565,0.27,19.11.2024 17:37:05,154.471,7h 52m,-149.79,124847.57,-90.6,usdjpy cf
842,GOLD.pro,Buy,20.11.2024 02:01:06,2639.56,0.15,20.11.2024 07:07:47,2633.74,5h 6m,-82.46,124765.11,-58200,gold sf
1194,US100.pro,Buy,19.11.2024 19:39:13,20737.3,0.08,20.11.2024 15:35:46,20707.4,19h 56m,-45.4,124719.71,-299000,nas100 sf
1174,US500.pro,Sell,20.11.2024 16:00:00,5908.2,0.1,20.11.2024 16:55:27,5908.1,55m 27s,0.48,124720.19,1000,us500 vf
844,GOLD.pro,Buy,20.11.2024 14:26:04,2639.54,0.15,20.11.2024 19:25:25,2645.56,4h 59m,85.78,124805.97,60200,gold sf
2518,USDJPY.pro,Buy,20.11.2024 06:54:00,155.15,0.23,20.11.2024 21:00:00,155.367,14h 6m,30.48,124836.45,21.7,usdjpy pf
1204,USDJPY.pro,Buy,20.11.2024 07:30:00,155.381,0.5,21.11.2024 02:14:26,154.891,18h 44m,-139.39,124697.06,-49,usdjpy cf
2520,USDJPY.pro,Buy,21.11.2024 06:12:00,155.135,0.38,21.11.2024 07:12:17,154.737,1h 0m,-92.62,124604.44,-39.8,usdjpy pf
1196,US100.pro,Buy,21.11.2024 15:32:01,20905.7,0.07,21.11.2024 15:34:15,20815.4,2m 14s,-120.1,124484.34,-903000,nas100 sf
1026,US100.pro,Buy,21.11.2024 14:45:00,20860.4,0.04,21.11.2024 15:37:03,20709.3,52m 3s,-114.83,124369.51,-1511000,nas100 cf
622,DE30.pro,Buy,22.11.2024 02:32:04,19261.3,0.07,22.11.2024 10:19:55,19201.7,7h 47m,-104.3,124265.21,-596000,dax sf
1126,GOLD.pro,Buy,21.11.2024 12:15:13,2671.73,0.1,22.11.2024 15:31:28,2685.4,1d 3h 16m,131.28,124396.49,136700,gold fv
2522,USDJPY.pro,Buy,22.11.2024 06:06:00,154.502,0.3,22.11.2024 21:00:00,154.802,14h 54m,55.84,124452.33,30,usdjpy pf
1176,US500.pro,Buy,21.11.2024 21:02:28,5982.6,0.05,22.11.2024 21:02:28,5982.7,1d 0h 0m,0.24,124452.57,1000,us500 vf
624,DE30.pro,Buy,22.11.2024 13:22:03,19252.2,0.07,25.11.2024 01:16:13,19490.7,2d 11h 54m,417.38,124869.95,2385000,dax sf
1206,USDJPY.pro,Sell,25.11.2024 02:30:00,153.871,0.3,25.11.2024 09:04:28,154.677,6h 34m,-149.56,124720.39,-80.6,usdjpy cf
1198,US100.pro,Buy,25.11.2024 15:11:28,21029.8,0.07,25.11.2024 15:53:34,20940.4,42m 6s,-119.8,124600.59,-894000,nas100 sf
1028,US100.pro,Buy,25.11.2024 00:15:00,20945.3,0.03,25.11.2024 18:46:10,20784.5,18h 31m,-92.56,124508.03,-1608000,nas100 cf
2524,USDJPY.pro,Buy,25.11.2024 06:06:00,154.206,0.15,25.11.2024 21:00:00,154.136,14h 54m,-6.48,124501.55,-7,usdjpy pf
1208,USDJPY.pro,Sell,26.11.2024 06:30:00,153.609,0.36,26.11.2024 14:21:50,153.364,7h 51m,54.74,124556.29,24.5,usdjpy cf
1200,US100.pro,Buy,26.11.2024 15:49:59,21016.7,0.07,26.11.2024 16:18:04,20927.9,28m 5s,-119.03,124437.26,-888000,nas100 sf
2526,USDJPY.pro,Sell,26.11.2024 06:30:00,153.609,0.17,26.11.2024 21:00:00,153.116,14h 30m,52.26,124489.52,49.3,usdjpy pf
1210,USDJPY.pro,Sell,27.11.2024 01:00:00,152.935,0.53,27.11.2024 10:00:08,151.843,9h 0m,362.58,124852.1,109.2,usdjpy cf
2528,USDJPY.pro,Sell,27.11.2024 07:30:00,152.152,0.18,27.11.2024 21:00:00,151.025,13h 30m,127.16,124979.26,112.7,usdjpy pf
1030,US100.pro,Sell,27.11.2024 17:00:00,20743.2,0.05,28.11.2024 01:21:18,20850.1,8h 21m,-101.83,124877.43,-1069000,nas100 cf
1128,GOLD.pro,Buy,27.11.2024 08:00:17,2648.21,0.059,28.11.2024 14:00:17,2645.94,1d 6h 0m,-12.77,124864.66,-22700,gold fv
2530,USDJPY.pro,Buy,28.11.2024 08:48:00,151.735,0.24,28.11.2024 21:00:00,151.499,12h 12m,-35.42,124829.24,-23.6,usdjpy pf
1212,USDJPY.pro,Sell,29.11.2024 02:15:00,150.08,0.3,29.11.2024 08:55:54,149.991,6h 40m,16.83,124846.07,8.9,usdjpy cf
846,GOLD.pro,Buy,29.11.2024 03:22:01,2658.4,0.14,29.11.2024 09:09:33,2658.52,5h 47m,1.58,124847.65,1200,gold sf
